course,title,time,date,going,surface,distance,class,runners
Carlisle,"13:20 32Red Casino Interactive Planning Race Handicap Chase",13:20:00,2014-02-05," Heavy"," Turf",16f,4,7
Carlisle,"13:50 32Red Novices' Hurdle",13:50:00,2014-02-05," Heavy"," Turf",17f,4,7
Carlisle,"14:20 32Red.com Novices' Handicap Chase",14:20:00,2014-02-05," Heavy"," Turf",24f,4,8
Carlisle,"14:55 32Red EBF Mares' 'National Hunt' Novices' Hurdle",14:55:00,2014-02-05," Heavy"," Turf",19f,4,5
Carlisle,"15:30 32Red Novices' Limited Handicap Chase",15:30:00,2014-02-05," Heavy"," Turf",16f,3,5
Carlisle,"16:00 32Red Casino Handicap Hurdle",16:00:00,2014-02-05," Heavy"," Turf",17f,4,6
Carlisle,"16:30 32Red.com Handicap Chase",16:30:00,2014-02-05," Heavy"," Turf",21f,4,7
"Down Royal","13:15 St. Patrick's Punter Pack Handicap Chase (0-116)",13:15:00,2014-02-05," Heavy, Soft in places"," Turf",24f,0,10
"Down Royal","13:45 N.I. Hotels Federation Beginners Chase",13:45:00,2014-02-05," Heavy, Soft in places"," Turf",20f,0,11
"Down Royal","14:15 Martinstown Opportunity Handicap Chase (0-109)",14:15:00,2014-02-05," Heavy, Soft in places"," Turf",16f,0,9
"Down Royal","14:50 Sean Graham Bookmakers Maiden Hurdle",14:50:00,2014-02-05," Heavy, Soft in places"," Turf",20f,0,13
"Down Royal","15:25 Bet With The Tote Handicap Hurdle (80-109)",15:25:00,2014-02-05," Heavy, Soft in places"," Turf",20f,0,13
"Down Royal","15:55 Weatherbys Cheltenham Festival Betting Guide Novice Handicap Hurdle",15:55:00,2014-02-05," Heavy, Soft in places"," Turf",16f,0,6
"Down Royal","16:25 Dark Horse Wine Bar At Down Royal Flat Race",16:25:00,2014-02-05," Heavy, Soft in places"," Turf",16f,0,7
"Kempton Park","17:00 Book Now For Jump Racing 22.02.14 Handicap",17:00:00,2014-02-05," Standard"," Polytrack",5f,7,8
"Kempton Park","17:30 Mix Business With Pleasure At Kempton Handicap",17:30:00,2014-02-05," Standard"," Polytrack",10f,7,10
"Kempton Park","18:00 500 Free Bets At Betdaq Handicap",18:00:00,2014-02-05," Standard"," Polytrack",5f,5,3
"Kempton Park","18:30 Betdaq - The Sports Betting Exchange Maiden Fillies' Stakes",18:30:00,2014-02-05," Standard"," Polytrack",7f,5,13
"Kempton Park","19:00 Winners Are Welcome At Betdaq Handicap",19:00:00,2014-02-05," Standard"," Polytrack",7f,4,4
"Kempton Park","19:30 Kempton For Weddings Handicap",19:30:00,2014-02-05," Standard"," Polytrack",12f,6,9
"Kempton Park","20:00 Betdaq 1st UK Race Commission Free Handicap",20:00:00,2014-02-05," Standard"," Polytrack",6f,5,10
"Lingfield Park","13:30 coral.co.uk Handicap",13:30:00,2014-02-05," Standard"," Polytrack",12f,6,8
"Lingfield Park","14:00 32Red.com Fillies' Handicap",14:00:00,2014-02-05," Standard"," Polytrack",10f,5,6
"Lingfield Park","14:30 32Red Casino Handicap",14:30:00,2014-02-05," Standard"," Polytrack",8f,5,4
"Lingfield Park","15:05 Ladbrokes Handicap",15:05:00,2014-02-05," Standard"," Polytrack",8f,5,8
"Lingfield Park","15:40 32Red Handicap",15:40:00,2014-02-05," Standard"," Polytrack",13f,4,6
"Lingfield Park","16:10 Compare Bookmakers At bookmakers.co.uk Maiden Stakes",16:10:00,2014-02-05," Standard"," Polytrack",6f,5,5
"Lingfield Park","16:40 Download The Ladbrokes App Handicap",16:40:00,2014-02-05," Standard"," Polytrack",7f,5,9
Ludlow,"13:40 Wedding Receptions At Ludlow Claiming Hurdle",13:40:00,2014-02-05," Heavy"," Turf",16f,4,5
Ludlow,"14:10 Downton Novices' Chase",14:10:00,2014-02-05," Heavy"," Turf",24f,4,3
Ludlow,"14:40 Attwood Memorial Trophy Handicap Chase",14:40:00,2014-02-05," Heavy"," Turf",20f,3,7
Ludlow,"15:15 Michael Lumsden Memorial Mares' Handicap Hurdle (For The Henley Hall Gold Cup)",15:15:00,2014-02-05," Heavy"," Turf",21f,3,8
Ludlow,"15:50 Bromfield 'National Hunt' Maiden Hurdle",15:50:00,2014-02-05," Heavy"," Turf",16f,4,11
Ludlow,"16:20 CGA Foxhunter Trial (Hunters' Chase) (For The Ludlow Gold Cup)",16:20:00,2014-02-05," Heavy"," Turf",24f,5,5
Ludlow,"16:50 Onibury Maiden Hurdle",16:50:00,2014-02-05," Heavy"," Turf",21f,4,6
